Date, Open, High, Low, Close, Volume,Company
08/18/2021,13.5,13.5,13.5,13.5,1200,EGAD
08/17/2021,12.4,12.4,12.4,12.4,100,EGAD
08/13/2021,11.3,11.3,11.3,11.3,500,EGAD
08/12/2021,11.3,11.35,11.25,11.3,1500,EGAD
08/11/2021,11.35,11.35,11.35,11.35,1000,EGAD
08/10/2021,11.3,11.3,11.3,11.3,500,EGAD
08/06/2021,12.45,13.5,12,12.15,2700,EGAD
08/05/2021,12.3,12.3,12.3,12.3,1000,EGAD
08/04/2021,12,12,12,12,1400,EGAD
08/03/2021,11.8,11.8,11.8,11.8,4300,EGAD
08/02/2021,11.8,11.8,11.4,11.7,3500,EGAD
07/30/2021,11.5,11.5,11.5,11.5,1400,EGAD
07/26/2021,11.4,11.5,11.4,11.5,9900,EGAD
07/23/2021,11.85,11.85,11.4,11.45,2800,EGAD
07/22/2021,11.8,11.8,11.4,11.5,4000,EGAD
07/21/2021,11.85,11.85,11,11.35,1500,EGAD
07/19/2021,11.8,11.8,11,11,10100,EGAD
07/14/2021,11.85,11.85,11.85,11.85,200,EGAD
07/13/2021,11.85,11.85,11.8,11.85,200,EGAD
07/12/2021,10.8,10.8,10.8,10.8,5700,EGAD
07/09/2021,10.8,10.8,10.8,10.8,200,EGAD
07/08/2021,10.8,10.8,10.75,10.8,7200,EGAD
07/07/2021,11.85,11.85,11.85,11.85,700,EGAD
07/06/2021,11.85,11.85,11.85,11.85,100,EGAD
07/05/2021,10.8,10.8,10.8,10.8,400,EGAD
07/02/2021,10.6,10.6,10.6,10.6,100,EGAD
07/01/2021,10.8,10.8,10.65,10.65,10000,EGAD
06/30/2021,10.65,10.65,10.65,10.65,100,EGAD
06/29/2021,12,12,11.7,11.8,6800,EGAD
06/28/2021,11.7,11.7,11.7,11.7,4000,EGAD
06/25/2021,11.75,11.75,11,11.7,8800,EGAD
06/24/2021,12,12,11.7,11.8,300,EGAD
06/23/2021,12,12,11.5,11.75,400,EGAD
06/22/2021,12.5,12.5,12,12.1,500,EGAD
06/17/2021,11.5,11.5,11.5,11.5,100,EGAD
06/16/2021,10.5,10.6,10,10.5,6700,EGAD
06/15/2021,10.5,11,10.5,10.65,21600,EGAD
06/14/2021,11.2,11.2,10.15,11,42700,EGAD
06/11/2021,11.2,11.5,11,11.2,14000,EGAD
06/10/2021,11.5,11.5,11.3,11.4,10500,EGAD
06/09/2021,11.5,11.5,11.5,11.5,4000,EGAD
06/08/2021,13,13,12,12.2,5000,EGAD
06/07/2021,13,14,13,13.15,1400,EGAD
06/04/2021,14,14,13,13.35,11800,EGAD
06/03/2021,14,14,14,14,1100,EGAD
05/31/2021,14.95,14.95,14,14.5,200,EGAD
05/28/2021,14,14,14,14,1200,EGAD
05/25/2021,15,15,15,15,200,EGAD
05/21/2021,15,15,15,15,20100,EGAD
05/20/2021,15,15,15,15,2600,EGAD
05/19/2021,15,15,15,15,100,EGAD
05/17/2021,15,15,15,15,200,EGAD
05/13/2021,15,15,15,15,100,EGAD
05/12/2021,14,14,14,14,10000,EGAD
05/11/2021,14,14,14,14,11000,EGAD
05/10/2021,14,14,14,14,400,EGAD
05/05/2021,14,14,14,14,2000,EGAD
05/03/2021,14,14,14,14,9200,EGAD
04/29/2021,14,14,14,14,2000,EGAD
04/27/2021,15,15,15,15,600,EGAD
04/20/2021,15,15,15,15,800,EGAD
04/16/2021,15,15,15,15,200,EGAD
04/15/2021,13.8,13.8,13.8,13.8,2600,EGAD
04/14/2021,13,13.8,13,13.8,67600,EGAD
04/13/2021,13.9,14,13.9,13.95,1900,EGAD
04/06/2021,13.9,14,13.9,13.9,600,EGAD
03/31/2021,14.3,14.3,14.3,14.3,100,EGAD
03/17/2021,13.05,13.05,13.05,13.05,700,EGAD
03/16/2021,13,13,13,13,2000,EGAD
03/15/2021,14,14,13,13,7000,EGAD
03/12/2021,13,14,13,13.05,9400,EGAD
03/11/2021,13,13,13,13,100,EGAD
03/10/2021,13,13,13,13,4400,EGAD
03/08/2021,13,13,13,13,2100,EGAD
03/05/2021,13,13,13,13,4600,EGAD
03/04/2021,13,13.05,13,13,8100,EGAD
03/03/2021,13,13,13,13,200,EGAD
03/01/2021,13.7,13.75,13.7,13.75,3700,EGAD
02/25/2021,13,13,13,13,1000,EGAD
02/23/2021,13,13.7,13,13.35,200,EGAD
02/12/2021,12.5,12.5,12.5,12.5,100,EGAD
02/09/2021,12.5,12.5,12.5,12.5,2200,EGAD
02/04/2021,13.85,13.85,13.85,13.85,100,EGAD
01/19/2021,13.5,14.5,13.5,13.85,300,EGAD
01/13/2021,13.5,13.5,13.5,13.5,7500,EGAD
01/12/2021,13.5,13.5,13.5,13.5,200,EGAD
01/11/2021,13.5,13.5,13.5,13.5,100,EGAD
01/07/2021,13.5,13.5,13.5,13.5,100,EGAD
01/04/2021,12.5,12.5,12.5,12.5,3200,EGAD
12/30/2020,12.5,12.5,12.5,12.5,300,EGAD
12/23/2020,12.5,12.5,12.5,12.5,200,EGAD
12/22/2020,12,12.7,12,12.35,200,EGAD
12/16/2020,12.7,12.7,12.7,12.7,300,EGAD
12/15/2020,12.7,12.7,12.7,12.7,100,EGAD
12/11/2020,12,12.7,12,12.1,800,EGAD
11/23/2020,12.7,12.7,12.7,12.7,500,EGAD
11/18/2020,12.7,12.7,12.7,12.7,400,EGAD
11/17/2020,12.7,12.7,12.7,12.7,100,EGAD
11/16/2020,12.7,12.7,12.7,12.7,100,EGAD
11/13/2020,12.7,12.7,12.7,12.7,100,EGAD
11/10/2020,13.25,13.25,13.25,13.25,200,EGAD
11/09/2020,14,14,14,14,100,EGAD
10/29/2020,13.25,13.25,13.25,13.25,3200,EGAD
10/15/2020,13.25,13.25,13.25,13.25,100,EGAD
10/13/2020,13.2,13.2,13.2,13.2,500,EGAD
10/09/2020,13.2,13.2,13.2,13.2,300,EGAD
10/08/2020,13.2,13.2,13.2,13.2,1500,EGAD
10/06/2020,13.95,13.95,13.95,13.95,2800,EGAD
10/01/2020,13.2,13.2,13.15,13.15,300,EGAD
09/29/2020,13.15,13.15,13.15,13.15,100,EGAD
09/28/2020,13.15,13.15,13.15,13.15,300,EGAD
09/23/2020,13.15,13.15,13.15,13.15,200,EGAD
09/21/2020,13.15,13.15,13.15,13.15,100,EGAD
09/17/2020,13,13,11.25,12.95,4500,EGAD
09/16/2020,12,12,12,12,300,EGAD
09/15/2020,12,12,12,12,600,EGAD
09/14/2020,11.25,11.25,11.25,11.25,100,EGAD
09/08/2020,12.5,12.5,12.5,12.5,900,EGAD
09/07/2020,12.5,12.5,12.5,12.5,300,EGAD
09/04/2020,12.5,12.5,12.5,12.5,300,EGAD
09/02/2020,11.5,11.5,11.5,11.5,200,EGAD
08/25/2020,10.5,10.5,10.5,10.5,200,EGAD
08/21/2020,11,11,11,11,300,EGAD
08/20/2020,10,10,10,10,800,EGAD
08/18/2020,10,10,10,10,100,EGAD
08/17/2020,10.35,10.35,10.35,10.35,100,EGAD
08/14/2020,10.2,10.5,10.2,10.35,400,EGAD
08/10/2020,10.5,10.5,10.5,10.5,2000,EGAD
07/28/2020,10.5,10.5,10.5,10.5,300,EGAD
07/27/2020,10.2,10.2,10.2,10.2,500,EGAD
07/24/2020,10.2,10.2,10.2,10.2,500,EGAD
07/23/2020,9,10.2,9,10,600,EGAD
07/21/2020,10,10,10,10,500,EGAD
07/20/2020,10,10,10,10,500,EGAD
